katakana,origin,meaning,language
スマート,sumāto,smart,"slim, stylish, well-dressed, cool, handsome",English
スマホ,sumaho,sma(rt) + (p)ho(ne),smartphone,English
スムーズ,sumūzu,smooth (transaction),When a plan or transaction happens without incident,English
スーパー,sūpā,super(market),supermarket,English
"スパッツ, スパッツタイツ","supattsu, supattsu taitsu","spats, spats tights","tights (US), leggings",English
スペル,superu,spell,"used as a noun to mean ""spelling""",English
スピン,supin,spin,a ribbon or tassel on a book,English
スポイト,supoito,spuit,"syringe, dropper",Dutch
スリーサイズ,surī saizu,three size,"three primary female body measurements (bust, waist, hips)",English
ストライキ or スト,sutoraiki or suto,strike or st(rike),labor strike,English
ストレートティー,sutorēto tī,straight tea,black tea without milk or lemon,English,
ストーブ,sutōbu,stove,space heater,English
スーツアクター,sūtsu akutā,suits actor,"suit actor, an actor who performs wearing a cartoon-character costume",English
"タバコ, たばこ or 煙草",tabako,tabaco,"tobacco, cigarette",Portuguese
タイムオーバー,taimu ōbā,time over,when a time limit has been reached,English
タイムリー,taimurī,timely (hit),"a clutch hit (in baseball), on time",English
タオルケット,taoru ketto,towelket (towel + (blan)ket),a type of blanket made of a material similar to a beach or bath towel,English
タレント,tarento,talent,TV personality/celebrity,English
テーマ,tēma,Thema,theme,German
テンキー,tenkī,ten key,numeric keypad,English
てんぷら or 天ぷら,tenpura,tempura,"Apparent conflation of Portuguese tempero (""seasoning"") and tempora (""Ember days"", a Catholic holiday). See also Tempura#Etymology.",Portuguese
テンション,tenshon,tension,a state of excitement,English
テレビ,terebi,televi(sion),television,English
テレビゲーム,terebi gēmu,televi(sion) game,video game,English
テレフォン,terefon,telephone,"a system that converts acoustic vibrations to electrical signals in order to transmit sound, over a distance using wire or radio.",English
テレカ,tereka,tele(phone) ca(rd),prepaid card for using public telephones,English
ティーンエージャー,tīn'ējā,Teenager,A person in their teens,English
トーチカ,tōchika,точка (tochka) (meaning 'point'),bunker,Russian
トイレ(ット),toire(tto),toile(t),"toilet, bathroom, washroom, restroom",English
トンカツ,tonkatsu,"""ton,"" the on'yomi reading for 豚 (pork) + ""katsu"" from the English word ""cutlet""",pork cutlet,English
"トラブル(noun), トラブる(verb)",toraburu,trouble,"(noun) (legal) trouble, a dispute or altercation; (verb) to encounter or experience trouble, to break down or not function as expected (e.g., a device)",English
トランプ,toranpu,trump(s),playing cards,English
トレーナー,torēnā,trainer,a sweat shirt,English
トレーニングパンツ,torēningu pantsu,training pants,pants for toddlers or babies; diaper,English
ウィンカー or ウインカー,winkā or uinkā,winker,"turn signal, a.k.a. blinker or indicator on an automobile",English
ウーパールーパー,ūpārūpā or WuperRuper,(s)uper,an axolotl,English
ヴァージンロード,vājin rōdo,virgin road,"the aisle (in a Western-style or Christian wedding ceremony, as followed by the bridal procession)",English
ワイシャツ or Yシャツ,wai shatsu,"Y shirt (modification of ""white shirt"")",dress shirt (of any color),English
ワンパターン,wan patān,one pattern,"of (artificial or boring) uniformity or conformity, lacking of (spontaneous) variation. Used to describe behavior and responses as well as objects. Being ""in a rut""",English
ワンピース,wan pīsu,one piece,(a single-piece) dress,English
ワープロ,wāpuro,wor(d) pro(cessor),word processor,English
ウォシュレット,woshuretto,washlet (wash+(toi)let),a toilet with a built-in bidet (a genericized trademark of TOTO Ltd.),English
ヨット,yotto,yacht,a sailboat or yacht,English
ヤンエグ,yan egu,youn(g) ex(ecutive),young executive,English
ヨード,yōdo,Jod,iodine,German
ヨードチンキ,yōdo chinki,Jodtinktur,tincture of iodine,German
ユニットバス,yunitto basu,unit bath,"modular bath, prefabricated bath",English
Uターンラッシュ,yūtān rasshu,u-turn rush,"the rush of traffic and people, and attendant traffic jams and crowding of transportation facilities, that occurs as everyone returns home after extended holidays, esp. New Year's, Golden Week, and the summer o-bon week.",English
ザイル,zairu,Seil (meaning 'rope'),"rope (used in a climbing context, in preference to the general term 'rōpu')",German
ゼミナール or ゼミ,zemināru or zemi,Seminar or Semi(nar),seminar,German
ゼン,zen,ध्यान (Dhyāna),a meditation,Sanskrit
ゼロ,zero,zéro,zero,French
トマト,tomato,tomatl,tomato,Nahuatl
ズボン,zubon,jupon (meaning petticoat),"trousers (British English), pants (American English)",French
